,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
73,"8,Norvel Pelle,16:11,,,,,,,,,,,,,,,,,,,,,.500,.500,.000,.000,20.2,17.4,19.0,7.4,0.0,9.7,33.3,16.6,97,137,-12.0"
74,"9,Al Horford,240,,,,,,,,,,,,,,,,,,,,,.590,.575,.355,.151,25.0,67.6,43.6,60.9,5.4,6.6,7.5,100.0,126.8,140.9,"
75,"10,Tobias Harris,Marial Shayok,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
76,"0,Danny Green,49:49,10,25,.400,9,21,.429,0,0,,6,4,10,6,2,2,6,0,29,+7,1/12/2021,,,,,,,,,,,,,,,"
77,"1,Mike Scott,46:13,6,16,.375,4,12,.333,0,0,,1,2,3,1,0,0,0,1,16,+3,1/12/2021,,,,,,,,,,,,,,,"
78,"2,Joel Embiid,39:20,16,23,.696,0,3,.000,13,13,1.000,2,14,16,4,5,1,4,2,45,+4,1/12/2021,,,,,,,,,,,,,,,"
79,"3,Tyrese Maxey,36:14,7,18,.389,1,6,.167,1,3,.333,1,2,3,8,1,0,1,6,16,-14,1/12/2021,,,,,,,,,,,,,,,"
80,"4,Ben Simmons,31:51,2,2,1.000,0,0,,1,2,.500,1,5,6,12,2,0,6,6,5,+2,1/12/2021,,,,,,,,,,,,,,,"
81,"5,Isaiah Joe,37:07,4,10,.400,4,10,.400,1,1,1.000,1,4,5,1,0,2,0,3,13,+6,1/12/2021,,,,,,,,,,,,,,,"
82,"6,Dwight Howard,13:40,4,4,1.000,0,0,,2,4,.500,4,4,8,0,0,1,0,2,10,-1,1/12/2021,,,,,,,,,,,,,,,"
83,"7,Dakota Mathias,10:46,1,4,.250,1,3,.333,0,2,.000,0,1,1,0,0,0,0,1,3,+8,1/12/2021,,,,,,,,,,,,,,,"
84,"8,Paul Reed,265,50,102,.490,19,55,.345,18,25,.720,16,36,52,32,10,6,17,21,137,,1/12/2021,,,,,,,,,,,,,,,"
85,"9,Furkan Korkmaz,1/12/2021,Terrance Ferguson,1/12/2021,Tony Bradley,1/12/2021,Team Totals,1/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
86,"0,Danny Green,49:49,,,,,,,,,,,,,,,,,,,,,.580,.580,.840,.000,13.3,8.5,10.9,16.2,1.9,4.4,19.4,25.4,112,120,1.8"
87,"1,Mike Scott,46:13,,,,,,,,,,,,,,,,,,,,,.500,.500,.750,.000,2.4,4.6,3.5,2.7,0.0,0.0,0.0,14.1,116,127,-7.3"
88,"2,Joel Embiid,39:20,,,,,,,,,,,,,,,,,,,,,.783,.696,.130,.565,5.6,37.7,22.0,19.0,6.0,2.8,12.2,33.9,147,102,16.6"
89,"3,Tyrese Maxey,36:14,,,,,,,,,,,,,,,,,,,,,.414,.417,.333,.167,3.0,5.9,4.5,29.4,1.3,0.0,4.9,22.9,111,124,-8.6"
90,"4,Ben Simmons,31:51,,,,,,,,,,,,,,,,,,,,,.868,1.000,.000,1.000,3.5,16.6,10.2,42.8,3.0,0.0,67.6,11.4,104,116,-2.6"
91,"5,Isaiah Joe,37:07,,,,,,,,,,,,,,,,,,,,,.623,.600,1.000,.100,3.0,11.4,7.3,3.2,0.0,5.9,0.0,11.5,142,122,-2.1"
